;0;1;2;3;4;5;6;7;8;9
0;6;5;1;6;5;6;4;6;4;2
1;3;9;0;7;3;7;11;5;5;6
2;-7;7;0;6;0;-3;10;-10;0;6
3;-13;2;-3;4;-6;-7;6;0;-3;5
4;-9;-2;-3;-3;-7;-1;0;-2;-8;5
5;-18;-8;-13;-11;-7;-16;-7;-9;-10;-2
6;-9;-14;-24;-9;-7;-9;-10;0;-8;-2
7;-9;-14;-14;-9;-9;-3;-11;-17;-16;-2
8;-8;-15;-23;-8;-8;-7;-11;-12;-7;23
9;-7;1;-9;-5;-2;-6;-9;-1;15;18
10;-3;132;6;0;1;-6;-2;0;25;-17
11;-9;111;4;11;1;-6;7;0;25;21
12;10;137;14;36;10;10;64;6;73;-17
13;75;27;10;123;27;9;62;53;57;20
14;145;3;3;140;78;0;143;169;34;49
15;145;27;10;205;78;8;41;220;64;15
16;194;39;12;176;124;8;-11;252;28;44
17;146;82;14;188;52;8;62;212;64;41
18;172;131;22;188;57;9;0;212;77;13
19;246;82;14;190;64;4;62;324;40;41
20;277;131;16;188;117;7;96;258;102;32
21;283;33;28;182;249;13;34;459;49;64
22;276;-61;35;215;117;9;133;260;11;64
23;218;189;35;182;120;13;45;269;57;33
24;218;-52;29;234;37;11;-29;351;11;9
25;203;127;35;217;-9;10;62;200;35;9
26;222;351;24;170;37;13;-1;326;63;50
27;277;140;35;176;141;24;13;210;63;42
28;222;364;47;176;100;110;74;137;78;68
29;244;384;42;238;231;121;13;255;88;42
30;291;392;42;338;271;121;74;149;88;50
31;291;392;34;383;274;67;135;272;98;87
32;369;336;34;516;294;67;73;448;102;52
33;364;272;31;653;240;80;165;336;75;100
34;577;272;35;716;240;80;97;638;109;52
35;723;367;33;705;319;73;20;815;79;31
